trial,reward,minutes,cost_usd,started,failed_tests
20260823-212052,1,53,5.9406365,2026-08-23T21:20:53,
20260824-004151,0,31,6.3784635000000005,2026-08-24T00:41:52,test_every_report_matches
20260824-024822,0,16,2.2016345000000004,2026-08-24T02:48:24,
20260824-042223,1,36,9.477626500000001,2026-08-24T04:22:25,
20260824-063829,1,36,7.746249,2026-08-24T06:38:30,
20260824-092510,1,40,10.633267999999997,2026-08-24T09:25:12,
20260824-184210,0,51,16.901260000000004,2026-08-24T18:42:11,test_every_report_matches; test_dimensions_not_yet_changed_stay_distinct
20260824-193846,1,50,13.880518999999996,2026-08-24T19:38:48,
20260824-203403,1,41,10.934402999999998,2026-08-24T20:34:04,
20260824-222706,1,42,8.5581485,2026-08-24T22:27:08,
20260825-010533,1,46,13.581828000000002,2026-08-25T01:05:42,
