fill_id,ts,account,venue,instrument,side,price,quantity,liquidity,self_trade
F00001,2026-03-01T00:07:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,64000,1700000,MAKER,false
F00002,2026-03-01T01:52:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,3192,24400000,TAKER,false
F00003,2026-03-01T03:17:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,150039/47,39500000,MAKER,false
F00004,2026-03-01T05:40:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,207646/65,31600000,MAKER,false
F00005,2026-03-01T06:44:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,320608/5,1400000,MAKER,false
F00006,2026-03-01T09:07:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,3192,25500000,MAKER,false
F00007,2026-03-01T11:15:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,4037237/63,3400000,MAKER,false
F00008,2026-03-01T12:44:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,4037237/63,2500000,TAKER,false
F00009,2026-03-01T15:03:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,194634/61,19700000,MAKER,false
F00010,2026-03-01T16:56:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,277565/87,32700000,TAKER,false
F00011,2026-03-01T18:41:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,289775/91,6600000,MAKER,false
F00012,2026-03-01T19:25:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,192730/3,300000,MAKER,false
F00013,2026-03-01T20:31:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,190621/60,33900000,MAKER,false
F00014,2026-03-01T21:26:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,104873/33,10600000,MAKER,false
F00015,2026-03-01T23:30:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,254263/80,26200000,MAKER,false
F00016,2026-03-02T00:58:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,117432/37,7500000,TAKER,false
F00017,2026-03-02T01:59:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,111051/35,3000000,MAKER,false
F00018,2026-03-02T04:06:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,12689/4,38000000,MAKER,false
F00019,2026-03-02T06:01:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,190297/60,13400000,MAKER,false
F00020,2026-03-02T07:17:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,5766289/90,2100000,TAKER,false
F00021,2026-03-02T08:31:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,5073668/79,600000,TAKER,false
F00022,2026-03-02T09:26:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,5719334/89,1800000,MAKER,false
F00023,2026-03-02T10:05:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,219323/69,13100000,MAKER,false
F00024,2026-03-02T12:19:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,317923/100,3900000,MAKER,false
F00025,2026-03-02T14:07:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,3151051/49,1400000,MAKER,false
F00026,2026-03-02T15:19:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,232107/73,2800000,MAKER,false
F00027,2026-03-02T16:30:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,3273106/51,1400000,TAKER,false
