funding_id,ts,instrument,funding_rate,mark_price
U00001,2026-03-01T00:00:00Z,BTC-PERP,97/1000000,4407721/68
U00002,2026-03-01T00:00:00Z,ETH-PERP,1/62500,243657/77
U00003,2026-03-01T08:00:00Z,BTC-PERP,-83/1000000,4086076/63
U00004,2026-03-01T08:00:00Z,ETH-PERP,-3/100000,69505/22
U00005,2026-03-01T16:00:00Z,BTC-PERP,-43/1000000,2138827/33
U00006,2026-03-01T16:00:00Z,ETH-PERP,-1/62500,309923/98
U00007,2026-03-02T00:00:00Z,BTC-PERP,-49/500000,2138827/33
U00008,2026-03-02T00:00:00Z,ETH-PERP,-37/500000,22144/7
U00009,2026-03-02T08:00:00Z,BTC-PERP,3/25000,4219166/65
U00010,2026-03-02T08:00:00Z,ETH-PERP,69/1000000,69505/22
U00011,2026-03-02T16:00:00Z,BTC-PERP,1/25000,2138827/33
U00012,2026-03-02T16:00:00Z,ETH-PERP,-7/125000,284737/90
U00013,2026-03-03T00:00:00Z,BTC-PERP,-13/125000,5970549/92
U00014,2026-03-03T00:00:00Z,ETH-PERP,-11/200000,173919/55
U00015,2026-03-03T08:00:00Z,BTC-PERP,27/250000,4730871/73
U00016,2026-03-03T08:00:00Z,ETH-PERP,37/250000,312929/99
U00017,2026-03-03T16:00:00Z,BTC-PERP,-37/500000,4086076/63
U00018,2026-03-03T16:00:00Z,ETH-PERP,23/500000,3159
U00019,2026-03-04T00:00:00Z,BTC-PERP,17/500000,2138827/33
U00020,2026-03-04T00:00:00Z,ETH-PERP,19/250000,271647/86
U00021,2026-03-04T08:00:00Z,BTC-PERP,13/1000000,2205625/34
U00022,2026-03-04T08:00:00Z,ETH-PERP,-27/500000,312929/99
U00023,2026-03-04T16:00:00Z,BTC-PERP,37/500000,5250899/81
U00024,2026-03-04T16:00:00Z,ETH-PERP,7/200000,69505/22
U00025,2026-03-05T00:00:00Z,BTC-PERP,97/1000000,1880704/29
U00026,2026-03-05T00:00:00Z,ETH-PERP,137/1000000,284737/90
U00027,2026-03-05T08:00:00Z,BTC-PERP,-3/200000,2205625/34
U00028,2026-03-05T08:00:00Z,ETH-PERP,53/1000000,22144/7
U00029,2026-03-05T16:00:00Z,BTC-PERP,1/12500,4414779/68
U00030,2026-03-05T16:00:00Z,ETH-PERP,63/500000,69505/22
U00031,2026-03-06T00:00:00Z,BTC-PERP,-27/500000,5000087/77
U00032,2026-03-06T00:00:00Z,ETH-PERP,109/1000000,22144/7
U00033,2026-03-06T08:00:00Z,BTC-PERP,73/500000,973751/15
U00034,2026-03-06T08:00:00Z,ETH-PERP,-21/200000,293993/93
U00035,2026-03-06T16:00:00Z,BTC-PERP,-1/25000,518763/8
U00036,2026-03-06T16:00:00Z,ETH-PERP,69/1000000,173919/55
U00037,2026-03-07T00:00:00Z,BTC-PERP,73/500000,2205625/34
U00038,2026-03-07T00:00:00Z,ETH-PERP,-71/1000000,309923/98
U00039,2026-03-07T08:00:00Z,BTC-PERP,7/125000,324162/5
U00040,2026-03-07T08:00:00Z,ETH-PERP,-87/1000000,271647/86
U00041,2026-03-07T16:00:00Z,BTC-PERP,33/1000000,5000087/77
U00042,2026-03-07T16:00:00Z,ETH-PERP,153/1000000,101169/32
