asset,utc_date,rate_usdt
USDC,2026-01-30,1.0002
USDC,2026-01-31,1.0002
USDC,2026-02-01,1.0002
USDC,2026-02-02,1.0002
USDC,2026-02-03,1.0002
USDC,2026-02-04,1.0002
USDC,2026-02-05,1.0002
USDC,2026-02-06,1.0002
USDC,2026-02-07,1.0002
USDC,2026-02-08,1.0002
USDC,2026-02-09,1.0002
USDC,2026-02-10,1.0002
USDC,2026-02-11,1.0002
USDC,2026-02-12,1.0002
USDC,2026-02-13,1.0002
USDC,2026-02-14,1.0002
USDC,2026-02-15,1.0002
USDC,2026-02-16,1.0002
USDC,2026-02-17,1.0002
USDC,2026-02-18,1.0002
USDC,2026-02-19,1.0002
USDC,2026-02-20,1.0002
USDC,2026-02-21,1.0002
USDC,2026-02-22,1.0002
USDC,2026-02-23,1.0002
USDC,2026-02-24,1.0002
USDC,2026-02-25,1.0002
USDC,2026-02-26,1.0002
USDC,2026-02-27,1.0002
USDC,2026-02-28,1.0002
USDC,2026-03-01,1.0002
USDC,2026-03-02,1.0002
USDC,2026-03-03,1.0002
USDC,2026-03-04,1.0002
USDC,2026-03-05,1.0002
USDC,2026-03-06,1.0002
USDC,2026-03-07,1.0002
