venue,utc_date,qualifying_volume_usdt
MSPOT,2026-01-30,137611000000
MPERP,2026-01-30,394606000000
MSPOT,2026-01-31,128271000000
MPERP,2026-01-31,353432000000
MSPOT,2026-02-01,135455000000
MPERP,2026-02-01,384937000000
MSPOT,2026-02-02,178915000000
MPERP,2026-02-02,381898000000
MSPOT,2026-02-03,169756000000
MPERP,2026-02-03,347519000000
MSPOT,2026-02-04,132302000000
MPERP,2026-02-04,383944000000
MSPOT,2026-02-05,123715000000
MPERP,2026-02-05,371093000000
MSPOT,2026-02-06,176723000000
MPERP,2026-02-06,399618000000
MSPOT,2026-02-07,120276000000
MPERP,2026-02-07,378377000000
MSPOT,2026-02-08,154908000000
MPERP,2026-02-08,349984000000
MSPOT,2026-02-09,133399000000
MPERP,2026-02-09,361606000000
MSPOT,2026-02-10,124009000000
MPERP,2026-02-10,322925000000
MSPOT,2026-02-11,123335000000
MPERP,2026-02-11,390964000000
MSPOT,2026-02-12,121206000000
MPERP,2026-02-12,369965000000
MSPOT,2026-02-13,148390000000
MPERP,2026-02-13,375327000000
MSPOT,2026-02-14,123806000000
MPERP,2026-02-14,389157000000
MSPOT,2026-02-15,149057000000
MPERP,2026-02-15,377394000000
MSPOT,2026-02-16,184987000000
MPERP,2026-02-16,392464000000
MSPOT,2026-02-17,150550000000
MPERP,2026-02-17,365311000000
MSPOT,2026-02-18,150260000000
MPERP,2026-02-18,348676000000
MSPOT,2026-02-19,180241000000
MPERP,2026-02-19,357982000000
MSPOT,2026-02-20,122816000000
MPERP,2026-02-20,374549000000
MSPOT,2026-02-21,133107000000
MPERP,2026-02-21,344367000000
MSPOT,2026-02-22,158848000000
MPERP,2026-02-22,335845000000
MSPOT,2026-02-23,163607000000
MPERP,2026-02-23,385640000000
MSPOT,2026-02-24,175326000000
MPERP,2026-02-24,386547000000
MSPOT,2026-02-25,144883000000
MPERP,2026-02-25,359763000000
MSPOT,2026-02-26,157245000000
MPERP,2026-02-26,397015000000
MSPOT,2026-02-27,185452000000
MPERP,2026-02-27,386228000000
MSPOT,2026-02-28,171557000000
MPERP,2026-02-28,397201000000
